15:00,Открытое интервью,"Cadie Desmeules [Push 1 stop]
В диалоге с Alain Mongeau 
Moderator - Peter Kirn "
16:00,перерыв,
16:15,Открытое интервью,"Olaf Bender [Raster]
В диалоге с Peter Kirn"
17:15,перерыв,
17:30,Открытое интервью,"Zak Khutoretsky [DVS1]
В диалоге с Peter Kirn "
18:30,перерыв,"Ivan Logos [GAMMA Festival], Artem Kryuchkov [Present Perfect Festival], Nairi Simonyan [Synthposium], Yulia Bychkova [Archstoyanie], Artem Kharchenko [Epizode].
Moderator - Ilya Voronin "
18:45,Открытое интервью,"Natasha Abelle, ARMA17
В диалоге с Natalia Fuchs "
19:45,the end,
