18:30 ,Регистрация/Нетворкинг,
19:30,Открытие GAMMA_PRO,"Презентация Gamma_pro: значение, направленность и идеология. 
Спикеры: Vyacheslav Kostyakhin, Natalia Fuchs, Liza Savina, Albina Motor, Daniyar Yusupov, Moderator - Ilya Voronin"
20:30,Аудиовизуальное искусство сегодня,"История фестиваля MUTEK и обзор основных тенденций в области аудиовизуального искусства. 
Спикеры: Alain Mongeau, Moderator - Peter Kirn"
22:00 ,Loscil [audiovisual live] (Canada),
23:00 ,Maotik + Nicolas Melmann [audiovisual live] (Canada),
00:00,Deadbeat + Push One Stop [audiovisual live] (Canada),
