20:00,Квантовый Оракул
21:00,Syberian live
22:00,Vanya Limb live 
23:00,Bionoid live
00:00,Eye Que + Naya 
1:00,Cio D'or (DE)
2:30,Mike Parker (US)
4:30,Invite (NL)
6:00,Criminal In Dance live
7:00,the end
